x,y,type
3,563749646.378748,up
3,447337871.0466849,mean
3,281912997.2426064,down
8,619008974.3109074,up
8,441325457.66258913,mean
8,257522163.10545933,down
13,640570156.7522062,up
13,407744220.20975286,mean
13,257641457.0218104,down
18,510489684.4846333,up
18,368038433.0914508,mean
18,208738108.95283794,down
23,570348985.8312912,up
23,380411598.0953875,mean
23,251745951.6757388,down
28,496940281.4654747,up
28,397375193.00051475,mean
28,284029271.31867504,down
33,472554219.0849817,up
33,351544856.2167469,mean
33,265770144.48197472,down
38,517089023.9371765,up
38,386894029.5099066,mean
38,261287079.10550022,down

