x,y,tuple,type
3,47578.750592021286,0,mean
3,86076.60049620009,0,up
3,17452.94411005485,0,down
8,64956.41782431006,1,mean
8,64956.41782431006,1,up 
8,64956.41782431006,1,down
13,94057.204154029,2,mean
13,170216.07600455428,2,up
13,30458.279358766442,2,down
18,144078.6894295581,3,mean
18,144078.6894295581,3,up
18,57041.05412721163,3,down
23,69401.51745639431,4,mean
23,108732.43147451725,4,up
23,46803.39875103116,4,down
28,111050.95930971103,5,mean
28,170461.98047192322,5,up
28,66691.54985681713,5,down
33,143491.529782983,6,mean
33,288266.53033187694,6,up
33,116716.7989762345,6,down
38,113177.53110660148,7,mean
38,186814.62755196454,7,up
38,64633.98186454558,7,down
43,155660.0370738623,8,mean
43,280347.4027908902,8,up
43,153986.38115819753,8,down
48,102747.91969211756,9,mean
48,157137.97310733545,9,up
48,55052.48993955898,9,down
53,125150.31851528908,10,mean
53,198791.17880454048,10,up
53,94183.92023160183,10,down
58,149230.13709801363,11,mean
58,313252.1806770528,11,up
58,79769.65275403595,11,down
63,70372.5891795761,12,mean
63,195896.7828544365,12,up
63,38561.83525027996,12,down
68,60138.69764728391,13,mean
68,153870.95661228962,13,up
68,34193.26711059117,13,down
