x,y,type
3,311489361.70212764,up
3,211914893.61702126,mean
3,161702127.6595745,down
8,324255319.14893615,up
8,241702127.65957448,mean
8,88510638.2978723,down
13,331914893.61702126,up
13,212765957.44680852,mean
13,98723404.25531912,down
18,302978723.4042553,up
18,177021276.59574467,mean
18,79148936.17021275,down
23,360851063.82978725,up
23,216170212.76595742,mean
23,146382978.72340423,down
28,294468085.10638297,up
28,216170212.76595742,mean
28,91063829.78723401,down
33,268936170.21276593,up
33,175319148.93617016,mean
33,134468085.10638297,down
38,292765957.44680846,up
38,200000000,mean
38,130212765.95744681,down


