x,y,tuple,type
3,87041.36162409198,0,mean
3,199148.98494247763,0,up
3,23362.798893966854,0,down
8,98767.89065745925,1,mean
8,96974.16868436504,1,up
8,90696.14177853544,1,down
13,118567.6012550323,2,mean
13,175068.41072221662,2,up
13,36059.25586326444,2,down
18,86346.50926231033,3,mean
18,127604.98001404028,3,up
18,52265.79177352112,3,down
23,47854.55379016888,4,mean
23,109736.52917663574,4,up
23,18256.708548833012,4,down
28,70343.41466210115,5,mean
28,133125.11640567917,5,up
28,41643.863092594394,5,down
33,65033.88300691986,6,mean
33,131400.16332612216,6,up
33,23779.71031103593,6,down
38,90214.7595237754,7,mean
38,137744.09375492478,7,up
38,26533.33142308629,7,down

